2019-09-19 09:04:25 476     2019/9/19 9:04:25:发送     
2019-09-19 09:04:26 017     2019/9/19 9:04:26:发送     
2019-09-19 09:04:26 457     2019/9/19 9:04:26:发送     
2019-09-19 09:04:27 969     2019/9/19 9:04:27:发送     
2019-09-19 09:04:28 225     2019/9/19 9:04:28:发送     
2019-09-19 09:04:30 489     2019/9/19 9:04:30:发送     
2019-09-19 09:04:31 969     2019/9/19 9:04:31:发送     
2019-09-19 09:04:33 033     2019/9/19 9:04:33:发送     
2019-09-19 09:04:33 945     2019/9/19 9:04:33:发送     
2019-09-19 09:04:34 201     2019/9/19 9:04:34:发送     
2019-09-19 09:04:34 497     2019/9/19 9:04:34:发送     
2019-09-19 09:18:08 694     2019/9/19 9:18:08:发送     12 31 23 1a ds as da 
2019-09-19 09:18:09 290     2019/9/19 9:18:09:发送     12 31 23 1a ds as da 
2019-09-19 09:18:10 378     2019/9/19 9:18:10:发送     12 31 23 1a ds as da 
2019-09-19 09:18:12 171     2019/9/19 9:18:12:发送     12 31 23 1a ds as da 
2019-09-19 09:18:12 708     2019/9/19 9:18:12:发送     12 31 23 1a ds as da 
2019-09-19 09:18:13 122     2019/9/19 9:18:13:发送     12 31 23 1a ds as da 
2019-09-19 09:18:14 066     2019/9/19 9:18:14:发送     12 31 23 1a ds as da 
2019-09-19 09:18:39 653     2019/9/19 9:18:39:发送     AT 12 34 56 
2019-09-19 09:21:00 274     2019/9/19 9:21:00:发送     
2019-09-19 09:21:00 929     2019/9/19 9:21:00:发送     
2019-09-19 09:21:01 714     2019/9/19 9:21:01:发送     
2019-09-19 09:21:02 845     2019/9/19 9:21:02:发送     AT 12 34 56 
2019-09-19 09:21:03 499     2019/9/19 9:21:03:发送     AT 12 34 56 
2019-09-19 09:21:04 233     2019/9/19 9:21:04:发送     AT 12 34 56 
2019-09-19 09:21:04 617     2019/9/19 9:21:04:发送     AT 12 34 56 
2019-09-19 09:21:05 098     2019/9/19 9:21:05:发送     AT 12 34 56 
2019-09-19 09:21:05 754     2019/9/19 9:21:05:发送     AT 12 34 56 
2019-09-19 09:21:22 435     2019/9/19 9:21:22:发送     13 24 56 55 
2019-09-19 09:21:25 315     2019/9/19 9:21:25:发送     13 24 56 55 
2019-09-19 09:21:25 906     2019/9/19 9:21:25:发送     13 24 56 55 
2019-09-19 09:21:26 314     2019/9/19 9:21:26:发送     13 24 56 55 
2019-09-19 09:21:49 640     2019/9/19 9:21:49:发送     AT 12 34 56 
2019-09-19 09:21:50 228     2019/9/19 9:21:50:发送     AT 12 34 56 
2019-09-19 09:21:50 698     2019/9/19 9:21:50:发送     AT 12 34 56 
2019-09-19 09:21:51 202     2019/9/19 9:21:51:发送     AT 12 34 56 
2019-09-19 09:21:55 909     2019/9/19 9:21:55:发送     AT 12 34 56 
2019-09-19 09:21:55 990     2019/9/19 9:21:55:接收     AF 12 34 56 
2019-09-19 09:21:56 362     2019/9/19 9:21:56:发送     AT 12 34 56 
2019-09-19 09:21:56 462     2019/9/19 9:21:56:接收     AF 12 34 56 
2019-09-19 09:21:56 961     2019/9/19 9:21:56:发送     AT 12 34 56 
2019-09-19 09:21:57 063     2019/9/19 9:21:57:接收     AF 12 34 56 
2019-09-19 09:21:57 378     2019/9/19 9:21:57:发送     AT 12 34 56 
2019-09-19 09:21:57 478     2019/9/19 9:21:57:接收     AF 12 34 56 
2019-09-19 09:21:57 850     2019/9/19 9:21:57:发送     AT 12 34 56 
2019-09-19 09:21:57 950     2019/9/19 9:21:57:接收     AF 12 34 56 
2019-09-19 09:21:59 034     2019/9/19 9:21:59:发送     AT 12 34 56 
2019-09-19 09:21:59 135     2019/9/19 9:21:59:接收     AF 12 34 56 
2019-09-19 09:22:01 858     2019/9/19 9:22:01:发送     AT 12 34 56 
2019-09-19 09:22:01 960     2019/9/19 9:22:01:接收     41 54 31 32 33 34 35 36 
2019-09-19 09:22:03 570     2019/9/19 9:22:03:发送     AT 12 34 56 
2019-09-19 09:22:03 671     2019/9/19 9:22:03:接收     41 54 31 32 33 34 35 36 
2019-09-19 09:22:04 154     2019/9/19 9:22:04:发送     AT 12 34 56 
2019-09-19 09:22:04 256     2019/9/19 9:22:04:接收     41 54 31 32 33 34 35 36 
2019-09-19 09:22:09 211     2019/9/19 9:22:09:发送     AT 12 34 56 
2019-09-19 09:22:09 339     2019/9/19 9:22:09:接收     ?4 V
2019-09-19 09:22:10 232     2019/9/19 9:22:10:发送     AT 12 34 56 
2019-09-19 09:22:10 312     2019/9/19 9:22:10:接收     ?4 V
2019-09-19 09:22:18 218     2019/9/19 9:22:18:发送     AT 12 34 56 
2019-09-19 09:22:18 319     2019/9/19 9:22:18:接收     AT 12 34 56 
2019-09-19 09:22:19 162     2019/9/19 9:22:19:发送     AT 12 34 56 
2019-09-19 09:22:19 262     2019/9/19 9:22:19:接收     AT 12 34 56 
2019-09-19 09:22:26 634     2019/9/19 9:22:26:发送     13 24 56 
2019-09-19 09:22:26 736     2019/9/19 9:22:26:接收     13 24 56 
2019-09-19 09:22:27 314     2019/9/19 9:22:27:发送     13 24 56 
2019-09-19 09:22:27 415     2019/9/19 9:22:27:接收     13 24 56 
2019-09-19 09:22:30 491     2019/9/19 9:22:30:发送     13 24 56 
2019-09-19 09:22:30 590     2019/9/19 9:22:30:接收     13 24 56 
2019-09-19 10:02:30 429     2019/9/19 10:02:30:接收     41 54 20 31 32 33 34 35 36 E1 3E 
2019-09-19 10:02:41 601     2019/9/19 10:02:41:接收     AT 12 34 56 ?
2019-09-19 10:03:20 951     2019/9/19 10:03:20:接收     AT 12 34 56 ?
2019-09-19 10:03:29 037     2019/9/19 10:03:29:发送     AT 12 34 56 
2019-09-19 10:03:37 973     2019/9/19 10:03:37:发送     AT 12 34 56 
2019-09-19 10:03:46 132     2019/9/19 10:03:46:发送     AT 12 34 56 
2019-09-19 10:03:47 157     2019/9/19 10:03:47:发送     AT 12 34 56 
2019-09-19 10:03:47 706     2019/9/19 10:03:47:发送     AT 12 34 56 
2019-09-19 10:03:48 179     2019/9/19 10:03:48:发送     AT 12 34 56 
2019-09-19 10:03:48 427     2019/9/19 10:03:48:发送     AT 12 34 56 
2019-09-19 10:03:48 667     2019/9/19 10:03:48:发送     AT 12 34 56 
2019-09-19 10:03:49 202     2019/9/19 10:03:49:发送     AT 12 34 56 
2019-09-19 10:03:49 419     2019/9/19 10:03:49:发送     AT 12 34 56 
2019-09-19 10:03:49 627     2019/9/19 10:03:49:发送     AT 12 34 56 
2019-09-19 10:03:50 131     2019/9/19 10:03:50:发送     AT 12 34 56 
2019-09-19 10:03:50 435     2019/9/19 10:03:50:发送     AT 12 34 56 
2019-09-19 10:03:50 835     2019/9/19 10:03:50:发送     AT 12 34 56 
2019-09-19 10:06:44 759     2019/9/19 10:06:44:发送     AT 123456
2019-09-19 10:06:55 988     2019/9/19 10:06:55:发送     AT 12 34 56 
2019-09-19 10:54:49 584     2019/9/19 10:54:49:发送     AT \r\n
2019-09-19 11:43:15 139     2019/9/19 11:43:15:发送     123456
2019-09-19 11:43:16 185     2019/9/19 11:43:16:发送     123465
2019-09-19 11:43:17 202     2019/9/19 11:43:17:发送     123466
2019-09-19 11:43:18 220     2019/9/19 11:43:18:发送     123467
2019-09-19 11:43:19 266     2019/9/19 11:43:19:发送     123468
2019-09-19 11:43:19 421     2019/9/19 11:43:19:接收     31 32 33 34 36 38 
2019-09-19 11:43:20 404     2019/9/19 11:43:20:发送     123469
2019-09-19 11:43:20 485     2019/9/19 11:43:20:接收     31 32 33 34 36 39 
2019-09-19 11:43:21 472     2019/9/19 11:43:21:发送     123470
2019-09-19 11:43:21 551     2019/9/19 11:43:21:接收     31 32 33 34 37 30 
2019-09-19 11:43:22 494     2019/9/19 11:43:22:发送     123471
2019-09-19 11:43:22 594     2019/9/19 11:43:22:接收     31 32 33 34 37 31 
2019-09-19 11:43:23 517     2019/9/19 11:43:23:发送     123472
2019-09-19 11:43:23 625     2019/9/19 11:43:23:接收     31 32 33 34 37 32 
2019-09-19 11:43:24 620     2019/9/19 11:43:24:发送     123473
2019-09-19 11:43:24 694     2019/9/19 11:43:24:接收     31 32 33 34 37 33 
2019-09-19 11:43:25 628     2019/9/19 11:43:25:发送     12 34 57 
2019-09-19 11:43:25 728     2019/9/19 11:43:25:接收     12 34 57 
2019-09-19 11:43:26 636     2019/9/19 11:43:26:发送     123458
2019-09-19 11:43:26 736     2019/9/19 11:43:26:接收     31 32 33 34 35 38 
2019-09-19 11:43:27 646     2019/9/19 11:43:27:发送     123459
2019-09-19 11:43:27 746     2019/9/19 11:43:27:接收     31 32 33 34 35 39 
2019-09-19 11:43:28 656     2019/9/19 11:43:28:发送     123460
2019-09-19 11:43:28 758     2019/9/19 11:43:28:接收     31 32 33 34 36 30 
2019-09-19 11:43:29 668     2019/9/19 11:43:29:发送     123461
2019-09-19 11:43:29 768     2019/9/19 11:43:29:接收     31 32 33 34 36 31 
2019-09-19 11:43:30 681     2019/9/19 11:43:30:发送     123462
2019-09-19 11:43:30 781     2019/9/19 11:43:30:接收     31 32 33 34 36 32 
2019-09-19 11:43:31 693     2019/9/19 11:43:31:发送     123463
2019-09-19 11:43:31 794     2019/9/19 11:43:31:接收     31 32 33 34 36 33 
2019-09-19 11:43:32 709     2019/9/19 11:43:32:发送     123464
2019-09-19 11:43:32 866     2019/9/19 11:43:32:接收     31 32 33 34 36 34 
2019-09-19 11:43:37 162     2019/9/19 11:43:37:发送     12 34 56 
2019-09-19 11:43:37 262     2019/9/19 11:43:37:接收     12 34 56 
2019-09-19 11:43:38 181     2019/9/19 11:43:38:发送     12 34 65 
